id,Season,city,team1,team2,toss_winner,toss_decision,result,dl_applied,win_by_runs,win_by_wickets,player_of_match,winner
455,IPL-2013,Delhi,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,0,4,BJ Hodge,Rajasthan Royals
480,IPL-2014,Delhi,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,0,0,7,KK Nair,Rajasthan Royals
483,IPL-2014,Delhi,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,normal,0,0,8,DR Smith,Chennai Super Kings
485,IPL-2014,Delhi,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,0,0,8,G Gambhir,Kolkata Knight Riders
489,IPL-2014,Delhi,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,1,0,8,DW Steyn,Sunrisers Hyderabad
502,IPL-2014,Delhi,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,0,4,AR Patel,Kings XI Punjab
523,IPL-2015,Delhi,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,0,0,3,DJ Hooda,Rajasthan Royals
535,IPL-2015,Delhi,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,0,6,UT Yadav,Kolkata Knight Riders
539,IPL-2015,Delhi,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,normal,0,37,0,SS Iyer,Delhi Daredevils
543,IPL-2015,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,10,VR Aaron,Royal Challengers Bangalore
548,IPL-2015,Delhi,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,9,NM Coulter-Nile,Delhi Daredevils
583,IPL-2016,Delhi,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,8,A Mishra,Delhi Daredevils
593,IPL-2016,Delhi,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,normal,0,10,0,SV Samson,Delhi Daredevils
599,IPL-2016,Delhi,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,0,1,0,CH Morris,Gujarat Lions
602,IPL-2016,Delhi,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,27,0,CR Brathwaite,Delhi Daredevils
609,IPL-2016,Delhi,Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,field,normal,0,0,7,AM Rahane,Rising Pune Supergiants
634,IPL-2016,Delhi,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,22,0,MC Henriques,Sunrisers Hyderabad
635,IPL-2016,Delhi,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,0,4,DA Warner,Sunrisers Hyderabad
7915,IPL-2018,Delhi,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,4,0,AS Rajpoot,Kings XI Punjab
7919,IPL-2018,Delhi,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,55,0,SS Iyer,Delhi Daredevils
7925,IPL-2018,Delhi,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,1,4,0,RR Pant,Delhi Daredevils
7935,IPL-2018,Delhi,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,normal,0,0,9,S Dhawan,Sunrisers Hyderabad
7938,IPL-2018,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,5,AB de Villiers,Royal Challengers Bangalore
7945,IPL-2018,Delhi,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,normal,0,34,0,HV Patel,Delhi Daredevils
7948,IPL-2018,Delhi,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,normal,0,11,0,A Mishra,Delhi Daredevils
11141,IPL-2019,Delhi,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,normal,0,0,6,SR Watson,Chennai Super Kings
11146,IPL-2019,Delhi,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,tie,0,0,0,P Shaw,Delhi Capitals
11152,IPL-2019,Delhi,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,0,5,J Bairstow,Sunrisers Hyderabad
11325,IPL-2019,Delhi,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,normal,0,40,0,HH Pandya,Mumbai Indians
11328,IPL-2019,Delhi,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,normal,0,0,5,SS Iyer,Delhi Capitals
11337,IPL-2019,Delhi,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,normal,0,16,0,S Dhawan,Delhi Capitals
11344,IPL-2019,Delhi,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,normal,0,0,5,A Mishra,Delhi Capitals
